Class,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10
3,0.214617,0.00844963,0.000702358,5.14798e-5,-8.63518e-9,4.63531e-6,4.61047e-9,0.46,1.29,1.26
-3,0.289823,0.0541234,0.00199671,0.000978198,1.36626e-6,0.000227031,-4.76648e-8,0.66,1.24,1.32
3,0.233325,0.0110553,0.000755321,0.000257384,-8.87689e-8,2.6372e-5,7.07027e-8,0.68,1.28,1.26
3,0.221327,0.00907596,0.000645959,0.000132233,-3.63668e-8,1.25367e-5,1.30774e-8,0.47,1.28,1.27
3,0.220293,0.00982468,0.000943078,4.38589e-5,-8.72584e-9,4.34715e-6,1.85056e-9,2.35,1.28,1.28
3,0.255083,0.0162894,0.00139533,0.000218445,-1.09297e-7,2.76775e-5,5.09782e-8,2.23,1.29,1.29
-3,0.269151,0.0431251,0.0015503,0.000598205,5.75522e-7,0.000122541,2.5384e-8,2.3,1.28,1.28
-3,0.290771,0.0540541,0.0019786,0.000857975,1.117e-6,0.000197854,4.40344e-8,2.27,1.28,1.28
3,0.185673,0.00412612,0.000456242,1.48121e-6,-4.56765e-13,3.42524e-8,3.85027e-11,1.07,1.26,1.32
3,0.176392,0.00298192,0.000177264,5.45985e-7,1.42669e-12,-2.62227e-8,-5.1784e-12,0.85,1.25,1.33
-3,0.298317,0.0521028,0.00534141,0.00212046,7.1349e-6,0.000483999,1.40966e-7,0.54,1.3,1.28
-3,0.277844,0.0466859,0.000763857,0.000255385,1.12771e-7,5.51678e-5,-2.43484e-9,2.14,1.3,1.28
-3,0.212493,0.0179251,6.29995e-5,1.16112e-5,3.13924e-10,1.5312e-6,-8.46171e-12,1.4,1.15,1.37
3,0.210171,0.00878958,0.000745632,3.34642e-5,2.42644e-9,1.66864e-6,4.69627e-9,1.7,1.32,1.3
3,0.217591,0.0104573,0.00105747,2.84437e-5,4.88434e-9,-6.95198e-7,-6.91367e-10,2.35,1.28,1.28
3,0.216659,0.0106872,0.00100425,3.79922e-5,7.35563e-9,-6.07364e-7,-9.82816e-10,0.61,1.29,1.22
-3,0.316026,0.0388165,0.00230577,0.00051262,2.72332e-7,2.11266e-5,4.86247e-7,1.25,1.32,1.3
-3,0.344443,0.0646275,0.000820017,0.00306511,4.51065e-6,0.000559879,1.80766e-6,1.95,1.28,1.3
3,0.275081,0.0210202,0.00117915,0.00104688,4.83556e-7,0.000134307,1.05786e-6,0.65,1.3,1.23
3,0.195541,0.00596779,0.000730293,1.43895e-5,-4.72485e-10,-2.08809e-8,1.39737e-9,2.28,1.28,1.28
3,0.21233,0.0100198,0.00103919,9.48324e-6,8.40071e-11,-8.66743e-7,-9.37664e-10,2.23,1.28,1.29
-3,0.262912,0.0412612,0.000643039,0.000253902,1.02583e-7,5.15295e-5,-1.4395e-9,1.62,1.28,1.27
-3,0.236983,0.0294406,9.76821e-5,2.53728e-5,1.23926e-9,4.02255e-6,-2.44572e-10,2.01,1.32,1.3
3,0.248722,0.00369524,0.00166044,5.09879e-5,1.44201e-8,-1.662e-6,-3.48792e-9,2.26,1.29,1.28
3,0.233679,0.00539455,0.00445499,3.5032e-5,-1.30945e-8,2.52525e-6,4.47958e-9,1.83,1.24,1.29
-3,0.271559,0.0458175,0.000681799,0.000282599,1.24044e-7,6.04882e-5,7.66217e-10,1.23,1.26,1.32
-3,0.295262,0.0576804,0.000878342,0.000360034,2.02383e-7,8.63126e-5,-5.72726e-9,2.13,1.29,1.28
-3,0.274436,0.0474909,0.00054285,0.000232581,8.26391e-8,5.06831e-5,-7.2804e-10,2.19,0.7,1.33
-3,0.298607,0.0600012,0.000947573,0.000440946,2.84974e-7,0.000107801,-5.40794e-9,1.24,1.3,1.3
3,0.230332,0.0126596,0.00153499,1.22591e-5,1.5265e-9,6.90622e-8,7.05558e-10,2.25,1.28,1.28
3,0.208308,0.00801141,0.000952961,4.44476e-6,2.26489e-10,6.71635e-8,1.79952e-10,1.02,1.19,1.39
-3,0.217696,0.0206022,3.64807e-5,4.59433e-6,5.58485e-11,5.6748e-7,2.04627e-11,2.26,1.28,1.28
3,0.219204,0.0117576,0.000986964,2.96769e-5,1.43965e-9,1.49085e-6,4.8707e-9,2.24,1.29,1.28
3,0.171736,0.00189881,0.000331123,7.79641e-7,1.16097e-11,3.31063e-8,-4.70453e-12,2.26,1.28,1.28
-3,0.208462,0.016726,7.4442e-5,9.58188e-6,1.94933e-10,9.5932e-7,1.65803e-10,2.31,1.28,1.28
-3,0.293634,0.0569905,0.00165956,0.000825042,9.64519e-7,0.000194646,-4.14149e-8,2.2,1.28,1.29
3,0.224837,0.0112242,0.00098811,1.99216e-5,8.82682e-10,1.26711e-6,2.652e-9,1.04,1.28,1.32
3,0.237336,0.015129,0.00174785,4.93729e-5,1.41296e-8,-1.55245e-6,-3.27388e-9,1.09,1.04,1.85
3,0.21231,0.00842712,0.00115748,8.72418e-6,1.83333e-10,-6.8538e-7,-8.57302e-10,0.78,1.29,1.27
-3,0.287165,0.0541613,0.00110103,0.000535928,4.11663e-7,0.000124708,-3.77158e-9,2.33,1.28,1.28
-3,0.230576,0.0259239,2.4131e-5,5.27483e-7,1.86937e-12,8.43425e-8,2.16939e-13,1.83,1.35,1.32
-3,0.279409,0.0496712,0.000239852,0.000110703,1.8035e-8,2.45127e-5,-3.75367e-10,0.57,1.3,1.27
3,0.183149,0.00450985,0.000553675,6.50212e-6,3.46341e-10,3.77246e-7,1.79583e-10,2.09,1.29,1.28
3,0.197886,0.00747166,0.000983828,8.24269e-6,-1.43039e-10,7.97911e-8,7.2836e-10,0.5,1.27,1.29
-3,0.268248,0.0442622,9.79928e-5,4.86087e-5,3.35449e-9,1.00921e-5,-4.65269e-11,1.18,1.26,1.26
3,0.187542,0.00415306,0.000335079,6.78437e-7,-9.43427e-12,-3.24333e-8,-3.95342e-12,2.28,1.28,1.28
-3,0.270249,0.029876,0.00184112,1.22668e-5,-1.72994e-9,-1.57057e-6,6.36962e-10,2.22,1.29,1.28
-3,0.324296,0.0695159,0.000207563,0.000569431,1.89451e-7,0.000149697,4.9321e-8,2.18,1.29,1.28
3,0.223106,0.0110629,0.00118358,1.1333e-5,1.29967e-9,-2.68667e-7,1.8342e-10,2.17,1.29,1.28
3,0.215267,0.00891136,0.00126086,3.42588e-5,1.84631e-9,1.74915e-6,6.87667e-9,1.69,1.28,1.28
-3,0.251437,0.0351892,0.00100277,0.000378228,2.32905e-7,7.09354e-5,-3.59818e-9,1.27,1.33,1.28
-3,0.268836,0.0434447,0.00140662,0.000591238,5.39177e-7,0.000123234,-1.41213e-9,0.81,1.26,1.3
3,0.222572,0.0041529,0.000665921,0.000324405,4.87395e-8,-1.9324e-5,1.42685e-7,0.98,1.23,1.33
3,0.184389,0.0035599,0.000552784,1.67658e-6,5.09509e-11,-4.1115e-8,-3.01782e-12,2.15,1.34,1.3
-3,0.26182,0.0154914,0.00438826,0.000710375,5.31724e-7,-8.28571e-5,-1.13594e-6,1.05,1.23,1.33
-3,0.266886,0.0432546,0.000305019,0.000131265,2.62161e-8,2.69728e-5,1.61015e-9,0.73,1.29,1.32
3,0.1711,0.00209316,7.70645e-5,1.21064e-6,-1.14789e-11,5.52145e-8,2.23036e-12,2.33,1.28,1.28
3,0.18153,0.00380587,0.000242569,2.94831e-6,-7.81762e-11,1.80512e-7,-1.02534e-11,2.24,1.35,1.24
-3,0.252013,0.036533,0.00035067,0.000145699,3.28048e-8,2.75099e-5,-2.90522e-9,2.2,1.35,1.24
3,0.170214,0.0018284,0.000201601,1.49537e-7,-1.17399e-13,2.03125e-9,8.12613e-13,1.92,1.4,1.24
3,0.174784,0.00327407,0.000213135,6.41509e-7,4.79205e-12,2.81057e-8,5.77101e-12,0.42,1.32,1.26
-3,0.264394,0.041921,0.000573907,0.000297049,1.22632e-7,6.07527e-5,2.04445e-9,1.79,1.43,1.22
-3,0.283813,0.0516094,0.000983249,0.000537308,3.90484e-7,0.000122006,6.69968e-9,0.78,1.25,1.32
-3,0.433714,0.124464,0.00352621,0.00107197,1.82904e-6,0.000290292,9.9912e-7,0.85,1.24,1.37
-3,0.45588,0.179165,0.00238919,0.00139752,2.53657e-6,0.000554395,-2.94976e-7,1.5,1.28,1.26
3,0.530717,0.0619017,0.00515636,0.00768973,-8.00867e-6,0.000136018,4.77547e-5,2.2,1.29,1.27
-3,0.389312,0.0981832,0.00126502,0.000371503,2.45381e-7,0.000107049,6.81874e-8,2.01,1.3,1.27
-3,0.338735,0.075777,0.00880834,0.00507389,3.39179e-5,0.00139363,-4.00589e-7,2.26,1.28,1.28
-3,0.422645,0.117681,0.0176958,0.0107392,0.000148026,0.00364952,-2.31802e-6,2.21,1.28,1.29
-3,0.329444,0.0703726,0.00658363,0.00319055,1.46228e-5,0.000841867,-2.03867e-8,2.23,1.27,1.29
-3,0.35416,0.0828451,0.0088468,0.00517533,3.50188e-5,0.0014762,2.56457e-9,0.29,1.29,1.28
3,0.419848,0.0652185,0.00552424,0.00149675,-2.07656e-6,0.000342016,3.76977e-6,2.29,1.28,1.28
3,0.458372,0.0456335,0.00070845,0.0110579,-2.37194e-5,0.00233701,1.98824e-5,0.55,1.29,1.19
-3,0.340024,0.0493694,0.00155751,0.00121278,1.47863e-6,-0.000178712,7.69352e-7,1.83,1.27,1.26
-3,0.304231,0.0596833,0.00449283,0.0020653,6.28925e-6,0.000503718,-1.57136e-7,0.73,1.29,1.32
3,0.374837,0.052012,0.00480011,0.00119114,-1.31103e-6,0.000245028,2.52852e-6,1.3,1.22,1.32
3,0.483779,0.0626459,0.00726252,0.00794307,-1.80586e-5,0.0019332,5.75628e-5,0.35,1.28,1.27
-3,0.296289,0.0588145,0.000862506,0.000389849,2.26034e-7,9.44791e-5,3.47548e-9,2.1,1.28,1.29
-3,0.311824,0.0280751,0.00391624,0.000812334,-1.17778e-7,-0.000114785,-1.4441e-6,2.17,1.27,1.29
-3,0.310307,0.0235667,0.00392402,0.000927189,2.01848e-7,-0.000134149,-1.757e-6,2.21,1.27,1.3
-3,0.29235,0.0526972,0.0042884,0.00171983,4.66322e-6,0.000393377,2.62656e-7,2.1,1.3,1.28
